,firm_name,crno,brno,ticker
261,태광,1801110045559.0,603-81-07233,023160
262,HD현대에너지솔루션,1101116265410.0,118-81-22037,322000
263,신도리코,1101110034960.0,218-81-00328,029530
264,넥스틴,1344110044981.0,126-86-32036,348210
265,이녹스첨단소재,1648110105010.0,501-86-00680,272290
266,쎄트렉아이,1601110091283.0,314-81-29846,099320
267,고려제강,1801110001220.0,617-81-00049,002240
268,후성,1314110189425.0,134-86-34812,093370
269,하나머티리얼즈,1615110086227.0,312-81-88209,166090
270,OCI,1101118626793.0,328-88-02675,456040
271,엠씨넥스,1101113136383.0,119-81-77345,097520
272,SPC삼립,1101110090516.0,133-81-22244,005610
273,유바이오로직스,1101114294122.0,211-88-40314,206650
274,원익QnC,1760110035615.0,513-81-31648,074600
275,성우하이텍,1801110042612.0,621-81-14445,015750
276,에프에스티,1101110546006.0,124-81-23841,036810
277,포스코엠텍,1746110000866.0,506-81-00055,009520
278,유티아이,1341110189717.0,123-86-21786,179900
279,동아에스티,1101115079713.0,204-86-40122,170900
280,화승엔터프라이즈,1101115891943.0,685-81-00299,241590
281,티앤엘,1345110028404.0,135-81-27264,340570
282,오름테라퓨틱,1601110433518.0,887-81-00503,475830
283,DS단석,1341110010839.0,133-81-22642,017860
284,씨앤씨인터내셔널,1358110238402.0,135-86-38179,352480
285,풀무원,1101110375439.0,315-81-01744,017810
286,비에이치,1350110087483.0,122-81-57587,090460
287,원익홀딩스,1243110033235.0,133-81-27249,030530
288,성일하이텍,2111110049793.0,520-88-00609,365340
289,아세아시멘트,1101115238096.0,220-88-64630,183190
290,지누스,1347110002553.0,124-81-28792,013890
291,해성디에스,1942110223694.0,609-86-18048,195870
292,미코,1346110012744.0,125-81-29377,059090
293,콜마비앤에이치,1101115399517.0,104-86-54817,200130
294,애경산업,1101110398275.0,113-81-11573,018250
295,바이오플러스,1101112785355.0,101-81-94737,099430
296,명신산업,1712110000958.0,505-81-01731,009900
297,바이오다인,1101111786057.0,214-86-39452,314930
298,한세실업,1201110484303.0,137-81-92214,105630
299,티에스이,1615110017818.0,312-81-21630,131290
300,코오롱생명과학,1101111948277.0,104-81-52769,102940
301,세아제강,1101116860640.0,568-86-01173,306200
302,드림텍,1615110027883.0,312-81-31249,192650
303,TCC스틸,1101110032112.0,107-81-13810,002710
304,동화기업,1201110004218.0,137-81-02333,025900
305,쏠리드,1101111603764.0,215-81-72901,050890
306,영진약품,1101110043127.0,218-81-00352,003520
307,서울반도체,1101110522436.0,112-81-13675,046890
308,대한제강,1801110003268.0,603-81-13259,084010
309,아스테라시스,1412110077086.0,609-86-25063,450950
310,월덱스,1760110020723.0,513-81-17137,101160
311,디아이,1101110039209.0,211-81-24974,003160
312,우주일렉트로,1348110043711.0,124-81-65313,065680
313,삼현,1901110012514.0,609-81-09210,437730
314,유진로봇,1101110991467.0,211-86-42832,056080
315,예스티,1348110048183.0,124-81-70534,122640
316,퓨쳐켐,1246110260311.0,121-81-46715,220100
317,남양유업,1101110092976.0,202-81-04367,003920
318,사조대림,1101110042278.0,114-81-34190,003960
319,천보,1511110031157.0,303-81-49444,278280
320,에이치브이엠,1355110238812.0,140-81-62109,295310
321,네오셈,1101116168614.0,141-86-00436,253590
322,제우스,1101110600430.0,229-81-05323,079370
323,씨어스테크놀로지,1545110042723.0,303-81-55460,458870
324,코미팜,1101110134372.0,133-81-23355,041960
325,노바렉스,1501110120399.0,317-81-11175,194700
326,한섬,1101110531578.0,120-81-26337,020000
327,바이오니아,1601110032542.0,301-81-27217,064550
328,메디포스트,1101112007709.0,211-86-61218,078160
329,넥센,1846110000583.0,618-81-15827,005720
330,비보존 제약,1358110085019.0,124-81-99564,082800
331,동운아나텍,1101113487546.0,214-87-92814,094170
332,KISCO홀딩스,1901110001872.0,608-81-00778,001940
333,파인엠텍,1341110618279.0,581-81-02559,441270
334,칩스앤미디어,1101112732413.0,214-87-30098,094360
335,자화전자,1501110005955.0,301-81-05474,033240
336,선익시스템,1101110700555.0,125-81-13079,171090
337,남해화학,1101110164717.0,201-81-45104,025860
338,에코앤드림,1101113085598.0,117-81-51806,101360
339,파트론,1358110090117.0,124-86-05362,091700
340,에이직랜드,1358110290105.0,427-88-00445,445090
341,한국비엔씨,1101116202305.0,404-86-00676,256840
342,국도화학,1101110126642.0,119-81-04497,007690
343,엔젤로보틱스,1101116314085.0,435-86-00568,455900
344,넥스틸,1746110022860.0,506-81-21195,092790
345,제이에스코퍼레이션,1101110554992.0,219-81-03482,194370
346,휴온스,1311110446029.0,863-87-00270,243070
347,넥스트바이오메디컬,1201110720228.0,131-86-63415,389650
348,신성에스티,1942110068066.0,609-81-63913,416180
349,유나이티드제약,1342110002769.0,307-81-05244,033270
350,GST,1313110038864.0,125-81-39609,083450
351,티에프이,1201110330051.0,122-81-79714,425420
352,일성아이에스,1101110039019.0,106-81-00710,003120
353,부광약품,1101110030405.0,118-81-00450,003000
354,하이록코리아,1801110029321.0,603-81-06103,013030
355,한일현대시멘트,1101110111867.0,214-81-24240,006390
356,아세아제지,1101110006274.0,220-81-02052,002310
357,대아티아이,1101111195109.0,116-81-37494,045390
358,선진,1344110046664.0,126-86-36352,136490
359,한국철강,1942110094318.0,609-81-84470,104700
360,삼표시멘트,1101110738637.0,229-81-04571,038500
361,한텍,2301110052355.0,610-81-33200,098070
362,에이스침대,1311110002772.0,129-81-02666,003800
363,서연이화,1101115455476.0,220-88-82958,200880
364,강원에너지,1101110191398.0,124-81-46960,114190
365,케이씨,1101110703210.0,120-81-05593,029460
366,휴림로봇,1101111817828.0,109-81-60401,090710
367,킵스파마,1101112063743.0,209-81-26571,256940
368,광동제약,1101110152134.0,113-81-08888,009290
369,KG케미칼,1243110008999.0,130-81-09693,001390
370,바디텍메드,1101115527168.0,107-88-30220,206640
371,피아이이,1358110345801.0,480-88-01144,452450
372,SIMPAC,1201110002189.0,122-81-00819,009160
373,하림,2149110034430.0,403-81-61113,136480
374,바이오비쥬,1201110947129.0,870-87-01049,489460
375,토모큐브,1601110406466.0,514-88-00190,475960
376,프레스티지바이오로직스,1101115739804.0,777-86-00083,334970
377,셀비온,1101114398180.0,214-88-63223,308430
378,켐트로닉스,1311110028116.0,129-81-21998,089010
379,바텍,1341110036348.0,123-81-28203,043150
380,KG에코솔루션,1101111799183.0,214-86-40997,151860
381,신성이엔지,1301110008664.0,134-81-03352,011930
382,백산,1147110003729.0,133-81-23001,035150
383,에이디테크놀로지,1311110081627.0,129-81-53729,200710
384,인화정공,1942110032988.0,609-81-36060,101930
385,인바디,1101111271834.0,220-81-13603,041830
386,삼목에스폼,1101110400377.0,133-81-23898,018310
387,잇츠한불,1101113394048.0,220-87-23971,226320
388,기가비스,1345110078029.0,135-81-68528,420770
389,마녀공장,1101114810308.0,108-86-00365,439090
390,에스앤디,1615110028766.0,312-81-32312,260970
391,자람테크놀로지,1101111864829.0,220-81-76364,389020
392,덕산테코피아,2301110120607.0,620-81-24727,317330
393,프로텍,1349110012243.0,133-81-34226,053610
394,다원시스,1350110049607.0,134-81-29935,068240
395,모토닉,1101110161317.0,101-81-02940,009680
396,석경에이티,1350110108445.0,134-81-63122,357550
397,CMG제약,1350110115846.0,134-81-71976,058820
398,에스티아이,1346110009460.0,125-81-23112,039440
399,제닉,1345110052677.0,135-81-49079,123330
400,제이브이엠,1701110111352.0,503-81-31016,054950
401,대원제약,1101110103955.0,207-81-36336,003220
402,KH바텍,1760110007234.0,513-81-06659,060720
403,매일유업,1101116390770.0,844-81-00466,267980
404,KPX홀딩스,1101113520627.0,110-81-75919,092230
405,스맥,1601110052665.0,314-81-14800,099440
406,송원산업,1801110000636.0,610-81-07100,004430
407,아이티엠반도체,1311110046639.0,129-81-32781,084850
408,아이패밀리에스씨,1101111892333.0,120-86-00633,114840
409,대화제약,2111110001529.0,133-81-22322,067080
410,화신,1701110014936.0,505-81-20965,010690
411,클리오,1101111421273.0,211-86-22189,237880
412,원익머트리얼즈,1501110101662.0,317-81-02448,104830
413,LX하우시스,1101114071207.0,107-87-18122,108670
414,인탑스,1341110013552.0,123-81-06645,049070
415,샘씨엔에스,1311110449718.0,573-87-00343,252990
416,대한제당,1201110018368.0,121-81-07309,001790
417,토니모리,1101113500249.0,114-86-53270,214420
418,나이벡,1101112940933.0,101-86-02611,138610
419,한국화장품제조,1101110037427.0,102-81-20368,003350
420,코리아써키트,1301110026749.0,134-81-07528,007810
421,듀켐바이오,1101112647604.0,105-86-50172,176750
422,동양철관,1201110002056.0,122-81-00857,008970
423,유진기업,1101110376148.0,130-81-22624,023410
424,제일일렉트릭,1801110037887.0,603-81-03203,199820
425,AP시스템,1348110400341.0,204-87-00511,265520
426,삼진제약,1101110088652.0,105-81-00769,005500
427,상아프론테크,1201110038209.0,122-81-16548,089980
428,디오,1845110003290.0,621-81-01561,039840
429,오상헬스케어,1101111265697.0,229-81-02291,036220
430,로보스타,1101111655393.0,113-81-51686,090360
431,삼화콘덴서,1345110003696.0,135-81-02429,001820
432,뉴파워프라즈마,1101111784952.0,212-81-44110,144960
433,네패스,1545110002355.0,303-81-05198,033640
434,잉글우드랩,,000-81-20019,950140
435,종근당홀딩스,1101110028955.0,113-81-06667,001630
436,대한제분,1101110003733.0,104-81-04345,001130
437,대동,1911110000104.0,514-81-06690,000490
438,HLB이노베이션,1101110234312.0,116-81-16183,024850
439,싸이닉솔루션,1311110132107.0,129-81-80570,234030
440,브이엠,1348110068248.0,124-81-93411,089970
441,네오팜,1601110100688.0,305-81-38977,092730
442,일양약품,1101110124802.0,209-81-00872,007570
443,PKC,1101110003709.0,113-81-01094,001340
444,씨메스,1101115501550.0,220-88-86560,475400
445,사조산업,1101110112328.0,110-81-09699,007160
446,로킷헬스케어,1101114780072.0,119-86-51995,376900
447,코오롱ENP,1713110003504.0,510-81-05710,138490
448,필에너지,1358110389651.0,151-86-01825,378340
449,디아이티,1348110112334.0,124-86-37544,110990
450,유니테스트,1311110047356.0,129-81-33266,086390
451,한솔아이원스,1348110109828.0,124-86-33892,114810
452,뉴로메카,2841110112915.0,132-86-13766,348340
453,휴스틸,1101110077283.0,107-81-11563,005010
454,토비스,1349110013457.0,133-81-37806,051360
455,CR홀딩스,2011110000440.0,416-81-07056,000480
456,일신방직,1101110041717.0,116-81-40780,003200
457,삼아알미늄,1341110002365.0,123-81-01882,006110
458,BYC,1101110005995.0,118-81-03063,001460
459,엠아이텍,1101110742406.0,203-81-48392,179290
460,이지홀딩스,1101110565163.0,220-81-15028,035810
461,동방메디컬,1645110024117.0,313-81-32635,240550
